Latitude,Longitude,CrimeGroup_Name,Year,Month,Day
16.190567,75.710571,KARNATAKA POLICE ACT 1963,2024,1,Sunday
16.191262,75.704257,MOLESTATION,2024,1,Wednesday
16.188577,75.707081,CHEATING,2024,1,Tuesday
16.184414,75.702911,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
16.190461,75.704609,CASES OF HURT,2024,2,Saturday
16.190567,75.702907,MOLESTATION,2024,2,Wednesday
16.188197,75.701869,MOLESTATION,2024,2,Thursday
16.188197,75.704257,KARNATAKA POLICE ACT 1963,2024,2,Friday
16.175388,75.654888,MISSING PERSON,2024,1,Friday
15.524871,75.16413,KARNATAKA POLICE ACT 1963,2024,1,Friday
16.47863,75.130734,RIOTS,2024,1,Tuesday
16.42323,75.078263,MOLESTATION,2024,1,Monday
16.424611,75.110111,MOLESTATION,2024,1,Tuesday
16.464848,75.111174,RIOTS,2024,1,Tuesday
16.556265,75.168129,THEFT,2024,2,Tuesday
16.467498,75.193289,Karnataka State Local Act,2024,2,Thursday
16.2537,75.623,MISSING PERSON,2024,2,Sunday
16.47332,75.13192,CASES OF HURT,2024,2,Tuesday
16.484313,75.128556,MISSING PERSON,2024,2,Friday
16.2839,75.12351,MISSING PERSON,2024,2,Saturday
16.48408,75.12362,MISSING PERSON,2024,2,Saturday
16.293612,75.12926,MISSING PERSON,2024,2,Friday
16.2839,75.12354,KARNATAKA POLICE ACT 1963,2024,3,Friday
16.47828,75.12342,KARNATAKA POLICE ACT 1963,2024,3,Saturday
16.34938,75.6121,KARNATAKA POLICE ACT 1963,2024,1,Thursday
16.34556,75.546621,KARNATAKA POLICE ACT 1963,2024,1,Friday
16.344861,75.611555,THEFT,2024,1,Saturday
16.349364,75.61229,KARNATAKA POLICE ACT 1963,2024,1,Thursday
16.382417,75.668838,THEFT,2024,1,Wednesday
16.25654,75.548542,MOLESTATION,2024,1,Wednesday
16.326598,75.632659,MOLESTATION,2024,1,Thursday
16.259874,75.125487,MISSING PERSON,2024,1,Saturday
16.349364,75.61229,KARNATAKA POLICE ACT 1963,2024,1,Saturday
16.349364,75.61229,MISSING PERSON,2024,1,Saturday
16.245621,75.65482,MISSING PERSON,2024,1,Thursday
16.252676,75.584166,MOLESTATION,2024,1,Thursday
16.252676,75.584166,MOLESTATION,2024,1,Sunday
16.349364,75.612135,CHEATING,2024,1,Wednesday
16.326598,75.256987,THEFT,2024,2,Saturday
16.349342,75.612102,THEFT,2024,2,Saturday
16.349342,75.612102,MISSING PERSON,2024,2,Sunday
16.246313,75.489998,MOLESTATION,2024,2,Wednesday
16.349342,75.612102,MISSING PERSON,2024,2,Friday
16.326598,75.326598,THEFT,2024,2,Saturday
16.349342,75.612102,CASES OF HURT,2024,2,Sunday
16.612102,75.349342,THEFT,2024,2,Monday
16.349364,75.612269,CHEATING,2024,2,Monday
16.326598,75.236598,CASES OF HURT,2024,2,Tuesday
16.349342,75.612102,MISSING PERSON,2024,2,Friday
16.279183,75.5022,CASES OF HURT,2024,2,Saturday
16.33972,75.636266,THEFT,2024,2,Sunday
16.279183,75.5022,CASES OF HURT,2024,2,Sunday
16.349342,75.612102,CASES OF HURT,2024,3,Monday
15.254585,75.254585,Karnataka State Local Act,2024,1,Friday
15.254585,75.256585,Karnataka State Local Act,2024,1,Saturday
15.254565,75.258565,KARNATAKA POLICE ACT 1963,2024,1,Wednesday
15.254565,75.856585,Karnataka State Local Act,2024,1,Saturday
15.254565,75.254565,Karnataka State Local Act,2024,1,Sunday
15.254565,75.255658,KARNATAKA POLICE ACT 1963,2024,1,Saturday
15.254585,75.254585,KARNATAKA POLICE ACT 1963,2024,1,Sunday
15.254585,75.254585,MISSING PERSON,2024,1,Wednesday
15.258565,75.258456,KARNATAKA POLICE ACT 1963,2024,2,Saturday
15.254585,75.254585,MOLESTATION,2024,2,Tuesday
15.254585,75.258565,KARNATAKA POLICE ACT 1963,2024,2,Friday
15.258545,75.258458,THEFT,2024,2,Monday
15.051587,75.795102,THEFT,2024,2,Tuesday
15.069292,75.723658,THEFT,2024,2,Tuesday
15.258545,75.258548,MISSING PERSON,2024,2,Saturday
15.258458,75.258545,KARNATAKA POLICE ACT 1963,2024,2,Monday
15.256545,75.258456,RIOTS,2024,2,Monday
15.258545,75.258545,RIOTS,2024,2,Tuesday
15.258545,75.254585,MISSING PERSON,2024,3,Friday
15.258545,75.258545,MISSING PERSON,2024,3,Saturday
16.162926,76.127857,Karnataka State Local Act,2024,1,Tuesday
16.066333,76.060666,MOLESTATION,2024,1,Wednesday
16.199464,76.049311,Karnataka State Local Act,2024,1,Wednesday
16.058085,76.057838,MOLESTATION,2024,1,Saturday
16.055709,76.080486,KARNATAKA POLICE ACT 1963,2024,1,Monday
16.057972,76.081017,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
16.059784,76.051688,CHEATING,2024,1,Sunday
16.190747,76.095289,THEFT,2024,2,Monday
16.093712,75.96299,MOLESTATION,2024,2,Thursday
16.048719,76.064261,BURGLARY - NIGHT,2024,2,Sunday
16.045117,76.063597,BURGLARY - NIGHT,2024,2,Sunday
16.050194,76.064679,BURGLARY - NIGHT,2024,2,Sunday
16.223487,76.043822,CASES OF HURT,2024,2,Thursday
16.036582,75.989862,MISSING PERSON,2024,2,Friday
16.223073,76.042994,RIOTS,2024,2,Sunday
16.17305,76.009892,KARNATAKA POLICE ACT 1963,2024,2,Tuesday
16.074302,76.117255,THEFT,2024,2,Wednesday
16.060487,76.053875,BURGLARY - NIGHT,2024,2,Wednesday
16.199464,76.049311,Karnataka State Local Act,2024,2,Wednesday
16.05992,76.059902,KARNATAKA POLICE ACT 1963,2024,3,Friday
16.066702,76.060498,BURGLARY - NIGHT,2024,3,Saturday
15.095862,75.012106,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
15.966529,76.111818,RIOTS,2024,1,Saturday
15.005805,76.000647,CHEATING,2024,1,Sunday
15.57162,76.06424,THEFT,2024,1,Tuesday
15.057208,76.006464,Karnataka State Local Act,2024,1,Sunday
15.960741,76.103652,BURGLARY - NIGHT,2024,1,Tuesday
15.005754,76.062921,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
15.9582,76.10785,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
15.005854,76.007062,CHEATING,2024,2,Wednesday
15.005726,76.006378,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
15.005742,76.000647,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
15.57467,76.06435,CHEATING,2024,2,Wednesday
15.057666,76.000643,MISSING PERSON,2024,2,Wednesday
15.955511,76.125486,THEFT,2024,2,Sunday
15.005726,76.000653,KARNATAKA POLICE ACT 1963,2024,2,Monday
15.235677,76.23562,CHEATING,2024,2,Tuesday
15.057562,76.06435,BURGLARY - NIGHT,2024,3,Tuesday
15.057472,76.006477,KARNATAKA POLICE ACT 1963,2024,3,Saturday
15.949789,76.276467,KARNATAKA POLICE ACT 1963,2024,1,Wednesday
16.166627,76.11506,MISSING PERSON,2024,1,Saturday
15.042169,76.04123,THEFT,2024,1,Sunday
16.03252,76.27893,MISSING PERSON,2024,2,Thursday
16.03252,76.04353,MOLESTATION,2024,2,Saturday
16.00008,76.092206,RIOTS,2024,2,Saturday
16.509433,75.280488,KARNATAKA POLICE ACT 1963,2024,1,Monday
16.424348,75.34118,MOLESTATION,2024,1,Wednesday
16.424432,75.335437,MOLESTATION,2024,1,Thursday
16.510727,75.265318,THEFT,2024,1,Friday
16.604109,75.244182,MISSING PERSON,2024,1,Sunday
16.473685,75.290001,THEFT,2024,2,Tuesday
16.344452,75.304444,THEFT,2024,2,Friday
16.539611,75.329813,KARNATAKA POLICE ACT 1963,2024,2,Friday
16.536567,75.333376,Karnataka State Local Act,2024,2,Wednesday
16.501687,75.259374,KARNATAKA POLICE ACT 1963,2024,3,Saturday
16.512514,75.268101,THEFT,2024,3,Wednesday
16.51296,75.290384,MISSING PERSON,2024,1,Thursday
16.340806,75.276861,CHEATING,2024,1,Saturday
16.0,75.0,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,Saturday
16.502724,75.285492,MISSING PERSON,2024,1,Thursday
16.5086,75.29176,THEFT,2024,1,Thursday
16.505579,75.285878,MISSING PERSON,2024,1,Sunday
16.0,75.0,CASES OF HURT,2024,1,Tuesday
16.510867,75.278167,THEFT,2024,1,Tuesday
16.511751,75.274925,CASES OF HURT,2024,1,Wednesday
16.080808,75.0,KARNATAKA POLICE ACT 1963,2024,1,Wednesday
16.499673,75.290982,KARNATAKA POLICE ACT 1963,2024,2,Thursday
16.509995,75.277958,CHEATING,2024,2,Saturday
16.50255,75.1733,CHEATING,2024,2,Sunday
16.3019,75.1736,THEFT,2024,2,Monday
16.152222,75.45826,MISSING PERSON,2024,3,Saturday
16.499995,75.295552,KARNATAKA POLICE ACT 1963,2024,3,Wednesday
16.303466,75.165157,CASES OF HURT,2024,3,Saturday
16.186167,75.612019,CASES OF HURT,2024,1,Tuesday
16.193237,75.551334,THEFT,2024,1,Tuesday
16.206358,75.498446,MOLESTATION,2024,1,Monday
16.175277,75.448816,Karnataka State Local Act,2024,1,Sunday
16.206671,75.49774,MOLESTATION,2024,2,Sunday
16.206507,75.497892,RIOTS,2024,2,Saturday
16.206605,75.498102,MISSING PERSON,2024,3,Sunday
16.206605,75.498102,THEFT,2024,3,Tuesday
16.206507,75.497892,KARNATAKA POLICE ACT 1963,2024,3,Wednesday
15.928764,75.35813,RIOTS,2024,1,Saturday
16.002711,75.35813,MISSING PERSON,2024,1,Wednesday
15.96243,75.443803,BURGLARY - NIGHT,2024,1,Wednesday
15.939829,75.35813,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
15.928764,74.64238,KARNATAKA POLICE ACT 1963,2024,1,Sunday
15.941254,75.410727,THEFT,2024,1,Monday
16.002711,75.521319,KARNATAKA POLICE ACT 1963,2024,1,Monday
15.956221,75.410727,KARNATAKA POLICE ACT 1963,2024,1,Monday
15.960436,75.431953,MISSING PERSON,2024,2,Thursday
15.96243,75.431881,MOLESTATION,2024,2,Thursday
15.972723,75.413055,MOLESTATION,2024,2,Friday
16.014635,75.512654,MISSING PERSON,2024,2,Sunday
15.956221,75.41305,CASES OF HURT,2024,2,Wednesday
15.956221,75.410727,CASES OF HURT,2024,2,Thursday
15.956221,75.41305,THEFT,2024,2,Thursday
15.941254,75.35813,THEFT,2024,2,Thursday
16.024396,75.482142,CASES OF HURT,2024,2,Friday
15.939829,75.41305,KARNATAKA POLICE ACT 1963,2024,2,Monday
15.941254,75.410727,KARNATAKA POLICE ACT 1963,2024,2,Tuesday
15.974758,75.431953,MISSING PERSON,2024,2,Thursday
15.941254,75.35813,KARNATAKA POLICE ACT 1963,2024,2,Friday
15.960436,75.410727,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
15.956221,75.35813,KARNATAKA POLICE ACT 1963,2024,2,Thursday
15.939829,75.41305,BURGLARY - NIGHT,2024,3,Monday
16.121463,75.280873,CASES OF HURT,2024,1,Thursday
12.254768,75.10863,THEFT,2024,1,Tuesday
16.121504,75.275138,THEFT,2024,1,Wednesday
16.232183,75.355519,CHEATING,2024,1,Friday
16.301502,75.382615,MISSING PERSON,2024,1,Wednesday
16.128424,75.24143,THEFT,2024,2,Saturday
16.161434,75.280873,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
16.147837,75.320231,THEFT,2024,2,Wednesday
16.165455,75.257801,CASES OF HURT,2024,2,Wednesday
16.161434,75.257801,THEFT,2024,2,Thursday
16.121504,75.275138,KARNATAKA POLICE ACT 1963,2024,2,Tuesday
16.150511,75.10863,THEFT,2024,2,Wednesday
16.128424,75.256638,CASES OF HURT,2024,2,Sunday
16.147985,75.275138,THEFT,2024,2,Thursday
16.133789,75.21577,MISSING PERSON,2024,3,Monday
16.38782,75.11193,MISSING PERSON,2024,1,Tuesday
16.387536,75.110524,KARNATAKA POLICE ACT 1963,2024,1,Wednesday
16.39159,75.11289,KARNATAKA POLICE ACT 1963,2024,1,Thursday
16.372083,75.082729,MISSING PERSON,2024,1,Saturday
16.37015,75.11781,MOLESTATION,2024,1,Sunday
16.37015,75.11781,MOLESTATION,2024,1,Sunday
16.387908,75.106333,KARNATAKA POLICE ACT 1963,2024,2,Friday
16.387396,75.097602,RIOTS,2024,2,Sunday
16.387396,75.097602,RIOTS,2024,2,Sunday
16.387065,75.108857,MISSING PERSON,2024,2,Sunday
16.387525,75.110468,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
16.385071,75.043651,CHEATING,2024,3,Tuesday
16.325869,75.995013,MISSING PERSON,2024,1,Wednesday
16.381315,75.388024,MISSING PERSON,2024,1,Friday
16.297253,75.349446,THEFT,2024,1,Sunday
16.328404,75.298156, CYBER CRIME,2024,1,Monday
16.299986,75.392009,THEFT,2024,1,Wednesday
16.342325,75.26971,THEFT,2024,1,Tuesday
16.33705,75.281225,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
16.340009,75.206093,CHEATING,2024,1,Saturday
16.369483,75.345855,BURGLARY - NIGHT,2024,1,Tuesday
16.336755,75.281035,THEFT,2024,2,Thursday
16.320007,75.303762,KARNATAKA POLICE ACT 1963,2024,2,Saturday
16.327635,75.476658,KARNATAKA POLICE ACT 1963,2024,2,Saturday
16.330394,75.285427,MISSING PERSON,2024,2,Saturday
16.327356,75.290306,MISSING PERSON,2024,2,Sunday
16.333996,75.281465,MISSING PERSON,2024,2,Monday
16.378562,75.192778,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,2,Friday
16.276372,75.22211,KARNATAKA POLICE ACT 1963,2024,2,Saturday
16.340193,75.27705,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
16.421217,75.235157,Karnataka State Local Act,2024,2,Saturday
16.381335,75.371463,MISSING PERSON,2024,2,Saturday
16.381659,75.175629,MOLESTATION,2024,2,Sunday
16.334785,75.283106,THEFT,2024,2,Monday
16.402086,75.330744,RIOTS,2024,2,Monday
16.378344,75.193769,RIOTS,2024,2,Tuesday
16.340465,75.290096,MISSING PERSON,2024,2,Thursday
16.387142,75.148569,MISSING PERSON,2024,2,Thursday
16.320373,75.302413,KARNATAKA POLICE ACT 1963,2024,3,Friday
16.351638,75.271914,MISSING PERSON,2024,3,Monday
16.330307,75.292842,MISSING PERSON,2024,3,Thursday
16.159129,75.669485,CHEATING,2024,1,Wednesday
16.165619,75.661483, CYBER CRIME,2024,1,Friday
16.17963,75.665331,BURGLARY - NIGHT,2024,1,Friday
16.14526,75.65365,KARNATAKA POLICE ACT 1963,2024,1,Saturday
16.159016,75.661417,CHEATING,2024,1,Monday
16.162944,75.664296,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,Wednesday
16.159016,75.6614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,Saturday
16.150309,75.660836,RIOTS,2024,2,Wednesday
16.159016,75.661417,MOLESTATION,2024,2,Thursday
16.159231,75.651629,MISSING PERSON,2024,3,Saturday
16.159016,75.661417,MISSING PERSON,2024,3,Saturday
16.157577,75.676882,KARNATAKA POLICE ACT 1963,2024,3,Monday
16.144722,75.654884,KARNATAKA POLICE ACT 1963,2024,3,Tuesday
16.159016,75.661417,THEFT,2024,3,Wednesday
16.166017,75.662631,MISSING PERSON,2024,3,Wednesday
16.159016,75.661417,KARNATAKA POLICE ACT 1963,2024,3,Saturday
16.508499,75.346348,MOLESTATION,2024,1,Saturday
16.565656,75.2551,RIOTS,2024,1,Sunday
16.566036,75.319586,Karnataka State Local Act,2024,1,Tuesday
16.566036,75.312254,MISSING PERSON,2024,1,Saturday
16.603311,75.414843,CASES OF HURT,2024,2,Friday
16.603127,75.415261,CASES OF HURT,2024,2,Saturday
16.587946,75.342364,KARNATAKA POLICE ACT 1963,2024,2,Monday
16.603127,75.415261,MOLESTATION,2024,2,Monday
16.566036,75.32121,KARNATAKA POLICE ACT 1963,2024,2,Monday
16.565804,75.312254,Karnataka State Local Act,2024,2,Tuesday
16.456879,75.308019,MISSING PERSON,2024,2,Monday
16.604757,75.294591,MOLESTATION,2024,2,Monday
16.562425,75.299122,MOLESTATION,2024,2,Tuesday
16.495492,75.053015,KARNATAKA POLICE ACT 1963,2024,1,Thursday
16.47235,75.107506,KARNATAKA POLICE ACT 1963,2024,1,Friday
16.493279,75.068479,KARNATAKA POLICE ACT 1963,2024,1,Friday
16.492082,75.068786,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,Monday
16.283348,75.063721, CYBER CRIME,2024,1,Tuesday
16.504704,75.114067,KARNATAKA POLICE ACT 1963,2024,2,Thursday
16.47235,75.107506,KARNATAKA POLICE ACT 1963,2024,2,Friday
16.491494,75.113132,MOLESTATION,2024,2,Sunday
16.48266,75.049599,MOLESTATION,2024,2,Monday
16.479445,75.111641,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
16.497346,75.045319,CHEATING,2024,2,Wednesday
16.52654,75.073011,THEFT,2024,2,Saturday
16.48266,75.049599,MOLESTATION,2024,2,Sunday
16.292718,75.040581,MISSING PERSON,2024,2,Tuesday
16.282902,75.061339,KARNATAKA POLICE ACT 1963,2024,3,Friday
16.494954,75.056759,MOLESTATION,2024,3,Saturday
16.282246,75.063626,KARNATAKA POLICE ACT 1963,2024,3,Saturday
16.282694,75.063331,KARNATAKA POLICE ACT 1963,2024,3,Saturday
16.293771,75.30387,CHEATING,2024,3,Sunday
16.494954,75.056759,MOLESTATION,2024,3,Wednesday
15.09517,76.54882,Karnataka State Local Act,2024,1,Sunday
15.10946,76.945049,CASES OF HURT,2024,1,Sunday
15.135903,76.9182,KARNATAKA POLICE ACT 1963,2024,1,Monday
15.10895,76.941752,KARNATAKA POLICE ACT 1963,2024,1,Wednesday
15.110125,76.946028,THEFT,2024,2,Wednesday
15.133124,76.921293,KARNATAKA POLICE ACT 1963,2024,2,Thursday
15.132028,76.921515,THEFT,2024,2,Wednesday
15.128038,76.922425,RIOTS,2024,2,Saturday
15.122338,76.921441,KARNATAKA POLICE ACT 1963,2024,2,Tuesday
15.108633,76.944873,Karnataka State Local Act,2024,2,Wednesday
15.12447,76.93645,MISSING PERSON,2024,3,Monday
15.0904,76.5542, CYBER CRIME,2024,1,Friday
15.090476,76.5542, CYBER CRIME,2024,1,Monday
15.0904,76.5542, CYBER CRIME,2024,1,Tuesday
15.151328,76.928673, CYBER CRIME,2024,1,Tuesday
15.0904,76.5542, CYBER CRIME,2024,1,Thursday
15.0904,76.928666, CYBER CRIME,2024,1,Saturday
15.151342,76.928652, CYBER CRIME,2024,1,Monday
15.090411,76.554222, CYBER CRIME,2024,1,Tuesday
15.0904,76.5542, CYBER CRIME,2024,1,Wednesday
15.090476,76.928666, CYBER CRIME,2024,1,Wednesday
15.090411,76.554211,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,Monday
15.090411,76.554222, CYBER CRIME,2024,2,Monday
15.090411,76.554222, CYBER CRIME,2024,2,Sunday
15.151305,76.928631, CYBER CRIME,2024,2,Friday
15.090411,76.554222, CYBER CRIME,2024,2,Friday
15.090411,76.554211, CYBER CRIME,2024,2,Friday
15.151305,76.928631, CYBER CRIME,2024,2,Friday
15.090411,76.554222, CYBER CRIME,2024,3,Friday
15.090411,76.554222, CYBER CRIME,2024,3,Saturday
15.090411,76.554222, CYBER CRIME,2024,3,Saturday
15.152032,76.927754, CYBER CRIME,2024,3,Thursday
15.0904,76.5542, CYBER CRIME,2024,3,Friday
15.152831,76.918916,MISSING PERSON,2024,1,Friday
15.152906,76.918616,MISSING PERSON,2024,1,Saturday
15.152831,76.91875,MISSING PERSON,2024,2,Wednesday
15.133766,76.918616,MISSING PERSON,2024,2,Wednesday
15.074527,76.534969,KARNATAKA POLICE ACT 1963,2024,1,Monday
15.133406,76.952242,THEFT,2024,1,Tuesday
15.139808,76.951154,Karnataka State Local Act,2024,1,Wednesday
15.168263,76.852396,Karnataka State Local Act,2024,1,Thursday
15.1624,76.9107,BURGLARY - NIGHT,2024,1,Friday
15.056733,77.049204,THEFT,2024,1,Friday
15.058541,76.084586,KARNATAKA POLICE ACT 1963,2024,1,Sunday
15.138249,76.87856,KARNATAKA POLICE ACT 1963,2024,1,Monday
15.053494,76.870675,THEFT,2024,1,Wednesday
15.169602,76.898566,MISSING PERSON,2024,1,Thursday
15.096848,76.084586,RIOTS,2024,1,Friday
15.057083,76.5218,CASES OF HURT,2024,1,Saturday
15.168967,76.898755,CASES OF HURT,2024,1,Monday
15.074527,76.084586,CASES OF HURT,2024,1,Tuesday
15.109111,76.805839,THEFT,2024,1,Friday
15.147586,76.955842,BURGLARY - NIGHT,2024,1,Sunday
15.063318,76.5828,KARNATAKA POLICE ACT 1963,2024,1,Wednesday
15.074527,76.561492,KARNATAKA POLICE ACT 1963,2024,2,Friday
15.175403,76.914158,KARNATAKA POLICE ACT 1963,2024,2,Saturday
15.1145,76.902043,BURGLARY - NIGHT,2024,2,Monday
15.074596,76.8952,THEFT,2024,2,Monday
15.144266,76.925012,KARNATAKA POLICE ACT 1963,2024,2,Thursday
15.12367,76.959534,KARNATAKA POLICE ACT 1963,2024,2,Friday
15.04576,76.960016,Karnataka State Local Act,2024,2,Saturday
15.147489,76.957525,THEFT,2024,2,Monday
15.056484,77.049893,THEFT,2024,2,Tuesday
15.145731,76.948642,BURGLARY - NIGHT,2024,2,Wednesday
15.20085,76.980421,Karnataka State Local Act,2024,2,Sunday
15.200851,76.980421,RIOTS,2024,2,Monday
15.126378,76.953261,CASES OF HURT,2024,2,Tuesday
15.164714,76.864175,BURGLARY - NIGHT,2024,2,Sunday
15.169649,76.851064,CHEATING,2024,2,Sunday
15.143177,76.95465,BURGLARY - NIGHT,2024,2,Tuesday
15.10034,76.897691,CHEATING,2024,3,Tuesday
15.103974,76.913526,KARNATAKA POLICE ACT 1963,2024,3,Thursday
15.159441,76.877665,KARNATAKA POLICE ACT 1963,2024,3,Thursday
15.166004,76.858196,KARNATAKA POLICE ACT 1963,2024,3,Thursday
15.134056,76.554085,KARNATAKA POLICE ACT 1963,2024,1,Thursday
15.142128,76.921658,CASES OF HURT,2024,1,Saturday
15.132618,76.927785,KARNATAKA POLICE ACT 1963,2024,1,Saturday
15.134056,76.934265,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,Sunday
15.134329,76.936971,CHEATING,2024,1,Friday
15.134056,76.918309,CASES OF HURT,2024,1,Sunday
15.138059,76.918309,MOLESTATION,2024,1,Wednesday
15.143939,76.925814,CASES OF HURT,2024,1,Wednesday
15.140005,76.920047,CASES OF HURT,2024,1,Wednesday
15.142872,76.927816,CHEATING,2024,2,Thursday
15.140882,76.925494,KARNATAKA POLICE ACT 1963,2024,2,Thursday
15.140918,76.92004,CASES OF HURT,2024,2,Friday
15.130703,76.927193,KARNATAKA POLICE ACT 1963,2024,2,Friday
15.0838,76.918309,MOLESTATION,2024,2,Monday
15.133985,76.732662,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
15.141619,76.925605,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,2,Sunday
15.133994,76.933211,MOLESTATION,2024,2,Monday
15.144182,76.92947,CASES OF HURT,2024,2,Monday
15.0838,76.918309,MOLESTATION,2024,2,Wednesday
15.137997,76.920374,KARNATAKA POLICE ACT 1963,2024,2,Thursday
15.134283,76.939653,CASES OF HURT,2024,2,Thursday
15.134056,76.554085,KARNATAKA POLICE ACT 1963,2024,2,Tuesday
15.137412,76.924668,CHEATING,2024,2,Tuesday
15.133803,76.942074,KARNATAKA POLICE ACT 1963,2024,2,Saturday
15.143945,76.922534,CHEATING,2024,2,Monday
15.137411,76.92498,CASES OF HURT,2024,2,Monday
15.13427,76.934045,CASES OF HURT,2024,2,Tuesday
15.136952,76.937084,MOLESTATION,2024,2,Thursday
15.143909,76.922552,CHEATING,2024,2,Thursday
15.137411,76.92498,CASES OF HURT,2024,3,Friday
15.144567,76.925336,THEFT,2024,3,Saturday
15.032537,76.504658,Karnataka State Local Act,2024,1,Tuesday
15.018105,76.428347,THEFT,2024,1,Friday
14.978025,76.637604,KARNATAKA POLICE ACT 1963,2024,1,Saturday
15.032537,76.452916,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
14.919141,76.493834,KARNATAKA POLICE ACT 1963,2024,1,Saturday
14.925915,76.570325,KARNATAKA POLICE ACT 1963,2024,1,Saturday
14.989423,76.452086,MISSING PERSON,2024,1,Tuesday
